DESTINATION_AIRPORT,destination_delay_rate
10135,0.13768115942028986
10136,0.06896551724137931
10140,0.12132701421800948
10141,0.13157894736842105
10146,0.2549019607843137
10154,0.18518518518518517
10155,0.03488372093023256
10157,0.23880597014925373
10158,0.18181818181818182
10165,0.16666666666666666
10170,0.1875
10185,0.12048192771084337
10208,0.12030075187969924
10257,0.13647058823529412
10268,0.030303030303030304
10279,0.08743169398907104
10299,0.1506276150627615
10333,0.1
10372,0.07692307692307693
10397,0.09610444083259058
10408,0.12422360248447205
10423,0.11353898886032562
10431,0.20833333333333334
10434,0.13636363636363635
10469,0.07042253521126761
10529,0.13420787083753785
10551,0.08333333333333333
10561,0.1308411214953271
10577,0.1388888888888889
10581,0.26666666666666666
10599,0.11808669656203288
10620,0.05844155844155844
10627,0.105
10631,0.1111111111111111
10685,0.07971014492753623
10693,0.11473522640061397
10713,0.1415929203539823
10721,0.16147596479350035
10728,0.0784313725490196
10731,0.21568627450980393
10732,0.2909090909090909
10739,0.1
10747,0.034782608695652174
10754,0.06521739130434782
10779,0.05714285714285714
10781,0.12368421052631579
10785,0.1722488038277512
10792,0.13275299238302501
10800,0.12192723697148476
10821,0.12150537634408602
10849,0.09547738693467336
10868,0.12236286919831224
10874,0.1282051282051282
10918,0.03333333333333333
10926,0.1111111111111111
10980,0.12757201646090535
10990,0.14492753623188406
10994,0.16973125884016974
11003,0.0924092409240924
11013,0.09090909090909091
11042,0.1255387931034483
11049,0.06976744186046512
11057,0.12734826589595374
11066,0.10282574568288853
11067,0.03333333333333333
11076,0.11428571428571428
11097,0.05555555555555555
11109,0.17366946778711484
11111,0.09859154929577464
11122,0.0759493670886076
11140,0.08374384236453201
11146,0.11538461538461539
11150,0.24615384615384617
11193,0.11964285714285715
11203,0.09523809523809523
11252,0.043478260869565216
11259,0.0904581266413773
11267,0.12072892938496584
11274,0.09803921568627451
11278,0.14391426384281705
11292,0.12857142857142856
11298,0.07876149802890933
11308,0.11594202898550725
11315,0.0
11337,0.14393939393939395
11413,0.11818181818181818
11423,0.10256410256410256
11433,0.10483321987746766
11447,0.10714285714285714
11471,0.3333333333333333
11481,0.06422018348623854
11503,0.0
11525,0.06666666666666667
11537,0.14912280701754385
11540,0.11336717428087986
11577,0.18181818181818182
11587,0.034482758620689655
11603,0.12307692307692308
11612,0.08733624454148471
11617,0.15625
11618,0.18130569194398982
11624,0.09302325581395349
11630,0.1568627450980392
11637,0.12459016393442623
11638,0.1
11641,0.09195402298850575
11648,0.07142857142857142
11695,0.2717391304347826
11697,0.1749776052553001
11721,0.11666666666666667
11775,0.10687022900763359
11778,0.10476190476190476
11823,0.07407407407407407
11865,0.09803921568627451
11867,0.0
11884,0.12033195020746888
11898,0.05660377358490566
11905,0.02857142857142857
11921,0.09554140127388536
11953,0.13333333333333333
11973,0.08695652173913043
11977,0.15140845070422534
11980,0.06060606060606061
11982,0.0514018691588785
11986,0.13686131386861314
11995,0.1239193083573487
11996,0.09523809523809523
12003,0.07079646017699115
12007,0.11764705882352941
12016,0.0
12094,0.2
12129,0.14893617021276595
12156,0.12048192771084337
12173,0.14560439560439561
12177,0.0967741935483871
12191,0.08321114369501466
12197,0.19902912621359223
12206,0.09696969696969697
12217,0.07929515418502203
12255,0.06666666666666667
12264,0.12947189097103917
12265,0.15384615384615385
12266,0.09393859879296773
12278,0.08684863523573201
12280,0.07692307692307693
12323,0.1746031746031746
12335,0.06060606060606061
12339,0.11884057971014493
12343,0.10344827586206896
12389,0.10317460317460317
12391,0.1509433962264151
12402,0.0410958904109589
12441,0.08421052631578947
12448,0.08157894736842106
12451,0.14754098360655737
12478,0.20583435332517339
12511,0.058823529411764705
12519,0.11904761904761904
