AIRLINE,delay_rate
AA,0.1874427681453126
AS,0.12947066196403068
B6,0.22756230226741367
DL,0.1391580790538795
EV,0.2000791770890698
F9,0.26740849112342796
HA,0.1252268305841194
MQ,0.2317152552964355
NK,0.30757495356858583
OO,0.18457176833524347
UA,0.21627615155962668
US,0.18818059653079192
VX,0.18887827567590015
WN,0.1934611644946947
