ORIGIN_AIRPORT,origin_delay_rate
10135,0.17266187050359713
10136,0.09482758620689655
10140,0.1225071225071225
10141,0.10526315789473684
10146,0.14
10154,0.39285714285714285
10155,0.011627906976744186
10157,0.20588235294117646
10158,0.09027777777777778
10165,0.8333333333333334
10170,0.125
10185,0.09036144578313253
10208,0.12030075187969924
10257,0.08293838862559241
10268,0.0
10279,0.06521739130434782
10299,0.1289875173370319
10333,0.13333333333333333
10372,0.07692307692307693
10397,0.09328083989501312
10408,0.15527950310559005
10423,0.0856898029134533
10431,0.1871345029239766
10434,0.12307692307692308
10469,0.18571428571428572
10529,0.0720081135902637
10551,0.1875
10561,0.14953271028037382
10577,0.19444444444444445
10581,0.125
10599,0.0944527736131934
10620,0.06535947712418301
10627,0.12060301507537688
10631,0.027777777777777776
10685,0.08633093525179857
10693,0.11832500960430273
10713,0.12259970457902511
10721,0.13288135593220338
10728,0.09803921568627451
10731,0.09803921568627451
10732,0.25925925925925924
10739,0.16666666666666666
10747,0.05172413793103448
10754,0.08695652173913043
10779,0.0
10781,0.13421052631578947
10785,0.16826923076923078
10792,0.10532030401737243
10800,0.13877952755905512
10821,0.16426884260253383
10849,0.06060606060606061
10868,0.14345991561181434
10874,0.10989010989010989
10918,0.03333333333333333
10926,0.1388888888888889
10980,0.1522633744855967
10990,0.10218978102189781
10994,0.1388101983002833
11003,0.12211221122112212
11013,0.15151515151515152
11042,0.11859838274932614
11049,0.09230769230769231
11057,0.15374887082204156
11066,0.09433962264150944
11067,0.041666666666666664
11076,0.05714285714285714
11097,0.2222222222222222
11109,0.14166666666666666
11111,0.0
11122,0.12658227848101267
11140,0.06435643564356436
11146,0.12121212121212122
11150,0.15151515151515152
11193,0.11377777777777778
11203,0.05952380952380952
11252,0.07246376811594203
11259,0.1088733216579101
11267,0.10227272727272728
11274,0.0392156862745098
11278,0.12732365673542145
11292,0.12612781954887217
11298,0.08448275862068966
11308,0.2318840579710145
11315,0.0
11337,0.20610687022900764
11413,0.09174311926605505
11423,0.07868020304568528
11433,0.11583602653512502
11447,0.14814814814814814
11471,0.16666666666666666
11481,0.04128440366972477
11503,0.0
11525,0.1
11537,0.14035087719298245
11540,0.09152542372881356
11577,0.06060606060606061
11587,0.034482758620689655
11603,0.15025906735751296
11612,0.11739130434782609
11617,0.12121212121212122
11618,0.14687100893997446
11624,0.08139534883720931
11630,0.06862745098039216
11637,0.11437908496732026
11638,0.14511873350923482
11641,0.10344827586206896
11648,0.1
11695,0.25
11697,0.13982035928143713
11721,0.09166666666666666
11775,0.10305343511450382
11778,0.0380952380952381
11823,0.050505050505050504
11865,0.11764705882352941
11867,0.027777777777777776
11884,0.1125
11898,0.07407407407407407
11905,0.06060606060606061
11921,0.10828025477707007
11953,0.09558823529411764
11973,0.0989010989010989
11977,0.11971830985915492
11980,0.06060606060606061
11982,0.046511627906976744
11986,0.11454545454545455
11995,0.10888252148997135
11996,0.07957559681697612
12003,0.09734513274336283
12007,0.17647058823529413
12016,0.0625
12094,0.13333333333333333
12129,0.10638297872340426
12156,0.08433734939759036
12173,0.08295142071494042
12177,0.06451612903225806
12191,0.09658464928387808
12197,0.18886198547215496
12206,0.07272727272727272
12217,0.05701754385964912
12255,0.13333333333333333
12264,0.11811470755252697
12265,0.16666666666666666
12266,0.11747776033490319
12278,0.06930693069306931
12280,0.1111111111111111
12323,0.112
12335,0.06060606060606061
12339,0.10797101449275362
12343,0.034482758620689655
12389,0.10236220472440945
12391,0.11737089201877934
12402,0.06506849315068493
12441,0.10416666666666667
12448,0.04221635883905013
12451,0.11975435005117707
12478,0.17830246285365356
12511,0.0
12519,0.09302325581395349
12523,0.20207253886010362
12758,0.07446808510638298
12819,0.21359223300970873
12884,0.13178294573643412
12888,0.06896551724137931
12889,0.1925575101488498
12891,0.0136986301369863
12892,0.15774212255944325
12896,0.099601593625498
12898,0.19117647058823528
12915,0.035398230088495575
12945,0.08670520231213873
12951,0.12549019607843137
12953,0.17686658506731945
12954,0.1943231441048035
12982,0.14563106796116504
12992,0.06743421052631579
13029,0.09411764705882353
13061,0.0603448275862069
13076,0.07291666666666667
13127,0.03333333333333333
13158,0.08547008547008547
13184,0.10126582278481013
13198,0.08369617803580068
13204,0.11413251627728839
13230,0.07453416149068323
13232,0.10337027821759782
13241,0.0625
13244,0.09932279909706546
13256,0.029411764705882353
13264,0.12949640287769784
13277,0.11666666666666667
13290,0.022727272727272728
13296,0.11144578313253012
13303,0.13578459756803707
13342,0.10170603674540682
13344,0.16666666666666666
13360,0.043478260869565216
13367,0.06321839080459771
13377,0.1
13422,0.09055118110236221
13433,0.0916030534351145
13459,0.06666666666666667
13476,0.17518248175182483
13485,0.0907258064516129
13486,0.08823529411764706
13487,0.09450088695371714
13495,0.08528584817244611
13541,0.18181818181818182
13577,0.17006802721088435
13795,0.2727272727272727
13796,0.13813813813813813
13830,0.1014218009478673
13851,0.09647302904564316
13871,0.09111617312072894
13873,0.22580645161290322
13891,0.15392254220456802
13930,0.13132507624323148
13931,0.13172541743970315
13933,0.11428571428571428
13964,0.43478260869565216
13970,0.125
14006,0.08823529411764706
14025,0.42857142857142855
14027,0.1347517730496454
14057,0.09001512859304085
14098,0.1791044776119403
14100,0.14810627473148671
14107,0.14209686003193187
14108,0.12043795620437957
14109,0.0
14113,0.030303030303030304
14122,0.06672025723472669
14150,0.0
14193,0.07581227436823104
14222,0.4
14252,0.08333333333333333
14254,0.19444444444444445
14256,0.25
14262,0.13672922252010725
14307,0.11616954474097331
14321,0.17985611510791366
14457,0.10071942446043165
14487,0.1111111111111111
14489,0.12173913043478261
14492,0.10724472333143183
14520,0.11764705882352941
14524,0.1412133891213389
14543,0.06060606060606061
14570,0.16716867469879518
14574,0.12121212121212122
14576,0.11475409836065574
14588,0.037037037037037035
14633,0.08333333333333333
14635,0.10191725529767912
14674,0.05555555555555555
14679,0.1216887417218543
14683,0.0683311432325887
14685,0.12151898734177215
14689,0.15950920245398773
14696,0.1557377049180328
14698,0.21232876712328766
14709,0.06521739130434782
14711,0.08333333333333333
14730,0.10995850622406639
14747,0.14139749505603164
14771,0.18058938139308328
14783,0.09210526315789473
14794,0.17094017094017094
14814,0.09177215189873418
14828,0.18518518518518517
14831,0.11706837186424005
14842,0.023255813953488372
14843,0.17100371747211895
14869,0.08725356236580128
14893,0.14401525989508823
14905,0.22857142857142856
14908,0.12365591397849462
14952,0.09302325581395349
14960,0.014084507042253521
14986,0.0893854748603352
15016,0.0905103668261563
15024,0.11851851851851852
15027,0.15384615384615385
15041,0.08571428571428572
15048,0.09090909090909091
15070,0.14705882352941177
15096,0.12566844919786097
15249,0.06748466257668712
15295,0.0784313725490196
15304,0.09550938337801608
15323,0.08421052631578947
15356,0.11728395061728394
15370,0.06812339331619537
15376,0.10817941952506596
15380,0.13178294573643412
15389,0.0392156862745098
15401,0.16
15411,0.05343511450381679
15412,0.09836065573770492
15497,0.125
15607,0.19607843137254902
15624,0.06995884773662552
15841,0.14705882352941177
15919,0.12316176470588236
15991,0.1111111111111111
16218,0.11764705882352941
ABE,0.1919956733369389
ABI,0.16982152514872903
ABQ,0.17463246992935785
ABR,0.17037037037037037
ABY,0.1732394366197183
ACK,0.1979381443298969
ACT,0.1953562850280224
ACV,0.2294921875
ACY,0.23678861788617886
ADK,0.41333333333333333
ADQ,0.1387434554973822
AEX,0.19992019154030327
AGS,0.20500782472613457
AKN,0.2222222222222222
ALB,0.14412720123097966
ALO,0.18105263157894738
AMA,0.1837248322147651
ANC,0.12113306000745434
APN,0.13839285714285715
ASE,0.26697150896939853
ATL,0.1668699432007545
ATW,0.19460165433173704
AUS,0.16520966069047266
AVL,0.1658579620644023
AVP,0.1885014137606032
AZO,0.17851851851851852
BDL,0.1637239165329053
BET,0.1136986301369863
BFL,0.1573508689525599
BGM,0.15976331360946747
BGR,0.11437908496732026
BHM,0.17371586315685694
BIL,0.09172738962708958
BIS,0.17640731444962351
BJI,0.09944751381215469
BLI,0.10679611650485436
BMI,0.19305555555555556
BNA,0.1860024224551056
BOI,0.15894759730376168
BOS,0.21264188274497553
BPT,0.2691790040376851
BQK,0.17304964539007092
BQN,0.20593692022263452
BRD,0.1787941787941788
BRO,0.15132275132275133
BRW,0.16244411326378538
BTM,0.028089887640449437
BTR,0.23118373022770727
BTV,0.20539599651871193
BUF,0.15934838948537577
BUR,0.13961940002643056
BWI,0.23522293179366052
BZN,0.12726054922973878
CAE,0.19655254967680152
CAK,0.13953488372093023
CDC,0.08779443254817987
CDV,0.166044776119403
CEC,0.24277456647398843
CHA,0.1806298276886512
CHO,0.20388921626399528
CHS,0.17119828049435787
CID,0.2240329512893983
CIU,0.17463617463617465
CLD,0.160828025477707
CLE,0.1782365991555142
CLL,0.14428412874583796
CLT,0.21314563299296124
CMH,0.18971393163275843
CMI,0.19083490269930947
CMX,0.13663366336633664
CNY,0.01951219512195122
COD,0.22184300341296928
COS,0.17904556871187657
COU,0.23856858846918488
CPR,0.11741424802110818
CRP,0.19116186693147963
CRW,0.24077976817702845
CSG,0.16308040770101925
CVG,0.2024178549287043
CWA,0.1824884792626728
DAB,0.11102172164119067
DAL,0.22146799467106515
DAY,0.18379928315412186
DBQ,0.170182841068917
DCA,0.1875987965937484
DEN,0.22114683168565893
DFW,0.22238941805508156
DHN,0.2220039292730845
DIK,0.11252900232018562
DLG,0.09090909090909091
DLH,0.20076628352490422
DRO,0.17615658362989323
DSM,0.19815459083345938
DTW,0.18377977886697822
DVL,0.12041884816753927
EAU,0.18181818181818182
ECP,0.1264765197349467
EGE,0.20078740157480315
EKO,0.0539906103286385
ELM,0.19429265330904674
ELP,0.1645803406525754
ERI,0.2079866888519135
ESC,0.09933774834437085
EUG,0.1512407780013414
EVV,0.20327102803738317
EWN,0.1513157894736842
EWR,0.21734060560466428
EYW,0.12643678160919541
FAI,0.1309328968903437
FAR,0.1843550867941112
FAT,0.20598864223025296
FAY,0.16640986132511557
FCA,0.10670553935860058
FLG,0.1452471482889734
FLL,0.1931203342236833
FNT,0.12526205450733752
FSD,0.21574010523907572
FSM,0.18968809675366008
FWA,0.19067083433517673
GCC,0.08281829419035847
GCK,0.20689655172413793
GEG,0.12398400206424977
GFK,0.17586912065439672
GGG,0.228
GJT,0.11805825242718447
GNV,0.20517560073937152
GPT,0.14745308310991956
GRB,0.1746192893401015
GRI,0.15587044534412955
GRK,0.17630597014925373
GRR,0.16286166365280288
GSO,0.2014166363966582
GSP,0.15772137182716528
GST,0.4473684210526316
GTF,0.08153180975911056
GTR,0.19654714475431606
GUC,0.2127659574468085
GUM,0.2111111111111111
HDN,0.20458553791887124
HIB,0.11312849162011174
HLN,0.06798623063683305
HNL,0.11542390194075587
HOB,0.1277533039647577
HOU,0.21948941469489414
HPN,0.24525423728813558
HRL,0.11788453774727493
HSV,0.15442969384990518
HYA,0.1951219512195122
HYS,0.18777292576419213
IAD,0.22274562584118437
IAG,0.2440944881889764
IAH,0.21956888377986056
ICT,0.1949938195302843
IDA,0.10256410256410256
ILG,0.3894736842105263
ILM,0.1386206896551724
IMT,0.10642570281124498
IND,0.1656088853629512
INL,0.13406593406593406
ISN,0.14758025874460948
ISP,0.1728538283062645
ITH,0.1
ITO,0.09185185185185185
JAC,0.1494949494949495
JAN,0.18687313038887912
JAX,0.16615832524608345
JFK,0.22052966157579595
JLN,0.23828125
JMS,0.1734860883797054
JNU,0.18061674008810572
KOA,0.11124467271336466
KTN,0.18205394190871368
LAN,0.18553008595988538
LAR,0.10722100656455143
LAS,0.2086631649034549
